,zip/postalcode,city,neighborhood,address,Latitudes,Longitudes
397,66045-320,Belém/PA,Cremação,Travessa Quintino Bocaiúva - de 2314/2315 a 3394/3395,-1.4608822399999999,-48.48436384
398,66045-335,Belém/PA,Cremação,Travessa Três de Maio - de 1856/1857 a 2318/2319,-1.4584643750000001,-48.473811808333345
399,66045-440,Belém/PA,Cremação,Rua São Miguel - de 944/945 a 1270/1271,-1.4644384333333333,-48.48205938333333
400,66045-480,Belém/PA,Condor,Rua dos Tambés - até 128/129,-1.4703891749999998,-48.4789887
401,66045-520,Belém/PA,Cremação,Rua Timbiras - de 1836/1837 ao fim,-1.461957725,-48.481729275
402,66045-530,Belém/PA,Condor,Passagem Três Irmãos,-1.4717874750000002,-48.4772855
403,66045-645,Belém/PA,Cremação,Rua dos Pariquis - de 3046/3047 a 3568/3569,-1.459151025,-48.474376675
404,66050-000,Belém/PA,Umarizal,Avenida Senador Lemos - até 639/640,-1.4400978789481589,-48.48904990838334
405,66050-005,Belém/PA,Umarizal,Avenida Senador Lemos - de 642/643 a 1172/1173,-1.43534195,-48.486883774999995
406,66050-040,Belém/PA,Umarizal,Passagem Belém,-1.43725175,-48.483869
407,66050-080,Belém/PA,Telégrafo Sem Fio,Rua Curuçá - até 765/766,-1.4355229444444442,-48.484568977777776
408,66050-100,Belém/PA,Umarizal,Travessa Dom Pedro I,-1.4380374000000002,-48.4869247
409,66050-110,Belém/PA,Umarizal,Travessa Dom Romualdo de Seixas - até 998/999,-1.4394429893712486,-48.48736030754612
410,66050-140,Belém/PA,Umarizal,Rua Ferreira Pena,-1.4378952875,-48.4811918125
411,66050-150,Belém/PA,Umarizal,Passagem Frederico,-1.431456975,-48.4902546625
412,66050-160,Belém/PA,Umarizal,Avenida Generalíssimo Deodoro - até 1257 - lado ímpar,-1.44620885,-48.482675400000005
413,66050-190,Belém/PA,Umarizal,Passagem Guajará,-1.4345865,-48.489101950000006
414,66050-240,Belém/PA,Umarizal,Travessa José Pio,-1.4330601333333333,-48.48690218571429
415,66050-250,Belém/PA,Umarizal,Passagem Leitão,-1.4352219625,-48.482260662499996
416,66050-290,Belém/PA,Umarizal,Travessa Manoel Evaristo,-1.4344404590909088,-48.486434640909096
417,66050-320,Belém/PA,Umarizal,Vila Marília A,-1.4366967000000002,-48.48343115
418,66050-321,Belém/PA,Umarizal,Vila Marília B,-1.43711835,-48.483311099999995
419,66050-350,Belém/PA,Umarizal,Rua Municipalidade - de 860/861 a 1756/1757,-1.43826542,-48.490121439999996
420,66050-380,Belém/PA,Umarizal,Rua Oliveira Belo,-1.44110155,-48.4801159
421,66050-400,Belém/PA,Umarizal,Avenida Pedro Álvares Cabral - até 1733/1734,-1.4307872400000001,-48.48703802
422,66050-430,Belém/PA,Umarizal,Travessa Quatorze de Março - de 352/353 a 580/581,-1.4377496,-48.48047243333334
423,66050-520,Belém/PA,Umarizal,Travessa Soares Carneiro - até 825/826,-1.4355488833333334,-48.48771661666666
424,66050-522,Belém/PA,Umarizal,Travessa Soares Carneiro - de 827/828 ao fim,-1.436477525,-48.4829553375
425,66050-530,Belém/PA,Umarizal,Alameda Taubinha,-1.4363686833333331,-48.48239423333334
426,66050-540,Belém/PA,Telégrafo Sem Fio,Rua do Una - até 181/182,-1.4290221750000003,-48.488417805
427,66053-000,Belém/PA,Reduto,Avenida Visconde de Souza Franco,-1.4475033800000001,-48.488317419999994
428,66053-020,Belém/PA,Reduto,Rua Aristides Lobo - de 656/657 ao fim,-1.4487323,-48.49268615555556
429,66053-040,Belém/PA,Reduto,Travessa Benjamim Constant - até 1072/1073,-1.44884162,-48.491903859999994
430,66053-050,Belém/PA,Reduto,Rua Boaventura da Silva - até 413/414,-1.449675825,-48.488623875
431,66053-090,Belém/PA,Reduto,Rua Gaspar Viana - de 577/578 ao fim,-1.4456337000000001,-48.494229000000004
432,66053-110,Belém/PA,Reduto,Avenida General Magalhães,-1.4457268153846152,-48.494733476923074
433,66053-180,Belém/PA,Reduto,Rua Municipalidade - até 857/858,-1.4440148476190477,-48.493686709523814
434,66053-190,Belém/PA,Reduto,Rua Ó de Almeida - de 385/386 ao fim,-1.4478309200000001,-48.492628659999994
435,66053-200,Belém/PA,Reduto,Rua Osvaldo Cruz,-1.449953025,-48.49421157500001
436,66053-210,Belém/PA,Reduto,Travessa Piedade,-1.4481045444444445,-48.495000644444445
437,66053-240,Belém/PA,Reduto,Travessa Quintino Bocaiúva - até 1317/1318,-1.4468242249999999,-48.490717325
438,66053-260,Belém/PA,Reduto,Travessa Rui Barbosa - até 1082/1083,-1.4470233333333333,-48.49194106666667
439,66053-320,Belém/PA,Reduto,Rua Senador Manoel Barata - de 1082/1083 ao fim,-1.4468705000000002,-48.49254245
440,66053-330,Belém/PA,Reduto,Rua Tiradentes,-1.44829814,-48.490759860000004
441,66053-355,Belém/PA,Reduto,Rua Vinte e Oito de Setembro - de 459/460 ao fim,-1.4459642000000001,-48.493121275
442,66053-360,Belém/PA,Reduto,Rua Henrique Gurjão,-1.4506404499999999,-48.492462825
443,66055-000,Belém/PA,Umarizal,Rua Cônego Jerônimo Pimentel - até 641/642,-1.44149245,-48.487666749999995
444,66055-002,Belém/PA,Umarizal,Rua Cônego Jerônimo Pimentel - de 643/644 ao fim,-1.437985775,-48.4863393
445,66055-005,Belém/PA,Umarizal,Avenida Visconde de Souza Franco,-1.444700385714286,-48.48971255714286
446,66055-028,Belém/PA,Nazaré,Travessa Dom Romualdo de Seixas - de 1560/1561 ao fim,-1.4478598999999999,-48.483683875000004
447,66055-030,Belém/PA,Nazaré,Travessa Almirante Wandenkolk,-1.4489676900000001,-48.485183660000004
